city,coordinates
поселок городского типа Лесогорский,"(61.090656, 28.905298)"
деревня Торошковичи,"(58.567438, 30.113657)"
посёлок Алексеевка,"(53.251461, 50.480252)"
поселок Серебрянский,"(58.580277, 29.612748)"
поселок Лукаши,"(59.592964, 30.301765)"
поселок Петровское,"(57.013851, 39.263349)"
деревня Щеглово,"(55.355198, 86.086847)"
Кронштадт,"(59.99179, 29.775846)"
поселок Мичуринское,"(60.564878, 29.871876)"
деревня Тарасово,"(53.924315, 27.384072)"
поселок Кингисеппский,"(59.401047, 28.571924)"
посёлок при железнодорожной станции Вещево,"(60.683858, 29.208165)"
поселок Ушаки,"(59.516081, 30.900878)"
деревня Котлы,"(59.605222, 28.755432)"
деревня Сижно,"(59.08479, 28.213505)"
деревня Торосово,"(59.517875, 29.565227)"
посёлок Форт Красная Горка,"(59.972005, 29.335573)"
поселок городского типа Токсово,"(60.149716, 30.512231)"
деревня Новолисино,"(59.563929, 30.766921)"
посёлок станции Громово,"(60.719848, 30.066541)"
деревня Глинка,"(59.682228, 30.502709)"
посёлок Мельниково,"(60.922527, 29.76167)"
поселок городского типа Назия,"(59.842377, 31.58684)"
деревня Старая Пустошь,"(59.976058, 30.687842)"
поселок Коммунары,"(60.904179, 30.077159)"
поселок Починок,"(60.971765, 30.189026)"
посёлок городского типа Вознесенье,"(61.010332, 35.482466)"
деревня Разбегаево,"(59.78991, 29.929449)"
посёлок городского типа Рябово,"(59.418549, 31.130892)"
поселок Гладкое,"(59.644145, 30.856798)"
посёлок при железнодорожной станции Приветнинское,"(60.163924, 29.421335)"
поселок Тёсово-4,"(58.7995, 30.565851)"
посёлок Жилгородок,"(51.997463, 55.507378)"
деревня Бор,"(59.770031, 33.472683)"
посёлок Коробицыно,"(60.518987, 29.725423)"
деревня Большая Вруда,"(59.40625, 29.241393)"
деревня Курковицы,"(59.425187, 29.668129)"
городской посёлок Советский,"(60.53114, 28.668151)"
посёлок Кобралово,"(59.586163, 30.39775)"
деревня Суоранда,"(59.944269, 30.610965)"
поселок Кобралово,"(59.586163, 30.39775)"
поселок городского типа Кондратьево,"(60.633296, 28.160819)"
коттеджный поселок Счастье,"(59.671697, 30.523945)"
поселок Любань,"(59.367128, 31.253269)"
деревня Реброво,"(60.062499, 32.588651)"
деревня Зимитицы,"(59.542233, 29.135886)"
деревня Тойворово,"(59.563396, 29.872055)"
поселок Семиозерье,"(60.31943, 29.297448)"
поселок Лесное,"(54.632692, 20.54854)"
поселок Совхозный,"(56.762488, 60.55626)"
поселок Усть-Луга,"(59.657676, 28.26664)"
посёлок Ленинское,"(58.315473, 47.088376)"
посёлок Суйда,"(59.464603, 30.121796)"
посёлок городского типа Форносово,"(59.569144, 30.551074)"
деревня Нижние Осельки,"(60.221083, 30.433197)"
посёлок станции Свирь,"(60.952077, 34.08563)"
поселок Перово,"(60.680884, 28.950213)"
Высоцк,"(60.625604, 28.568277)"
поселок Гарболово,"(60.340693, 30.496052)"
село Шум,"(59.875321, 31.777023)"
поселок Котельский,"(59.5823, 28.752773)"
поселок станции Лужайка,"(60.806211, 28.482119)"
деревня Большая Пустомержа,"(59.386303, 28.886316)"
поселок Красносельское,"(60.540956, 29.490038)"
деревня Вахнова Кара,"(60.472879, 33.102514)"
деревня Пижма,"(56.828571, 47.38013)"
коттеджный поселок Кивеннапа Север,"(60.347483, 29.757314)"
поселок Коробицыно,"(60.518987, 29.725423)"
поселок Ромашки,"(60.718233, 29.806218)"
посёлок Перово,"(60.680884, 28.950213)"
деревня Каськово,"(59.622705, 29.502821)"
деревня Куровицы,"(59.391009, 30.138999)"
посёлок Плоское,"(58.822862, 29.955464)"
поселок Сумино,"(59.47253, 29.48295)"
поселок городского типа Большая Ижора,"(59.945657, 29.569368)"
поселок Кирпичное,"(60.468631, 29.36669)"
деревня Ям-Тесово,"(58.892744, 30.579128)"
деревня Раздолье,"(60.576373, 30.152995)"
деревня Терпилицы,"(59.486989, 29.362495)"
посёлок Шугозеро,"(59.928604, 34.206705)"
деревня Ваганово,"(60.087219, 31.019824)"
поселок Пушное,"(60.411141, 29.472539)"
садовое товарищество Садко,"(56.021659, 36.564962)"
деревня Выскатка,"(59.020417, 28.183573)"
городской посёлок Свирьстрой,"(60.799715, 33.729026)"
поселок Громово,"(60.696922, 30.216793)"
деревня Кисельня,"(60.006062, 32.140517)"
посёлок Старая Малукса,"(59.637623, 31.370508)"
деревня Трубников Бор,"(59.264543, 31.395023)"
поселок Калитино,"(59.410207, 29.645949)"
посёлок Высокоключевой,"(59.470523, 30.099482)"
садовое товарищество Приладожский,"(59.876391, 31.328189)"
посёлок Пансионат Зелёный Бор,"(58.695367, 29.833769)"
деревня Ненимяки,"(60.35018, 30.383215)"
поселок Пансионат Зелёный Бор,"(58.695367, 29.833769)"
деревня Снегирёвка,"(60.553848, 30.297668)"
деревня Рапполово,"(60.161753, 30.439404)"
деревня Пустынка,"(59.660699, 30.812223)"
Колпино,"(59.748564, 30.595657)"
поселок Рабитицы,"(59.410637, 29.442831)"
деревня Большой Сабск,"(59.135878, 29.006547)"
деревня Русско,"(58.466571, 31.585951)"
деревня Лупполово,"(60.153823, 30.270216)"
деревня Большое Рейзино,"(59.597208, 30.0548)"
деревня Малая Романовка,"(60.036133, 30.727018)"
поселок Дружноселье,"(59.319073, 30.071113)"
поселок Пчевжа,"(59.355278, 32.351693)"
поселок Володарское,"(58.522185, 29.885431)"
деревня Нижняя,"(43.457774, 40.025471)"
коттеджный посёлок Лесное,"(59.708028, 29.85974)"
деревня Тихковицы,"(59.416223, 29.953461)"
деревня Борисова Грива,"(60.09552, 30.968063)"
посёлок Дзержинского,"(51.456691, 39.230965)"
